code,shares
5880,15680936914
5902,94500000
5903,223220000
5904,1064438260
5905,281623235
5906,35741412
5907,195531000
6005,2170908097
6015,403614082
6016,772419946
6020,252353154
6021,312230974
6023,447972732
6024,266683403
6026,396161841
6028,25000000
6101,116173578
6103,13604891
6104,91129107
6108,154494311
6109,87825414
6111,108511051
6112,188357336
6113,52549455
6114,43911937
6115,187662154
6116,2858654851
6117,92545408
6118,90889573
6120,598999602
6121,184970519
6122,78091632
6123,62089430
6124,182479945
6125,259011150
6126,130050754
6127,108079751
6128,127588740
6129,180943675
6130,46300000
6133,117006294
6134,81882117
6136,115536412
6138,75635500
6139,235575724
6140,54897760
6141,113354005
6142,330779215
6143,86058897
6144,38273701
6146,101867199
6147,744593539
6148,46603757
6150,48345985
6151,55257300
6152,167738463
6153,636177694
6154,80080000
6155,88023988
6156,107875010
6158,55698288
6160,68489120
6161,56237477
6163,148838747
6164,80000000
6165,77752623
6166,217769257
6167,146000000
6168,205761801
6169,23394960
6170,97260038
6171,100000000
6173,171200000
6174,50000000
6175,150121812
6176,348770447
6177,471891426
6179,177324650
6180,175493573
6182,625305662
6183,150000000
6184,158230657
6185,149867531
6186,226907598
6187,98262739
6188,278358910
6189,263779657
6190,195376079
6191,499303000
6192,96155770
6194,48000000
6195,50192942
6196,220329529
6197,123439128
6198,171400350
6199,61760018
6201,89200000
6202,230388200
6203,82401370
6204,23102080
6205,82235907
6206,143062324
6207,92534411
6208,94462343
6209,180462702
6210,35048000
6213,363562218
6214,272243066
6215,82789693
6216,97296137
6217,117210018
6218,64262000
6219,124967090
6220,146462640
6221,168612206
6222,95688878
6223,97981309
6224,85645361
6225,27800000
6226,115534789
6227,76111786
6229,40360700
6230,86343396
6231,45652186
6233,81021896
6234,100386398
6235,199906306
6237,79645371
6239,759146634
6240,22867370
6241,45533670
6242,31806500
6243,45268841
6244,387041875
6245,146608303
6246,37851415
6248,99956149
6257,483912325
6259,28056146
6261,128497989
6263,62500964
6264,136355291
6265,118172151
6266,153871641
6269,323831481
6270,72145759
6271,209058024
6272,81763948
6274,299336093
6275,80344567
6276,22043000
6277,119471166
6278,292398353
6279,119015736
6281,99172945
6282,856031294
6283,148981343
6284,148980341
6285,483441359
6290,169652410
6291,42000000
6292,46600712
6294,26047106
6405,65800000
6409,88253566
6411,99514331
6412,400769126
6414,145886397
6415,389452853
6416,73348460
6417,42274000
6418,34522000
6419,13159170
6423,31016000
6425,51382317
6426,38509000
6431,97398835
6432,40017865
6435,37461300
6438,82206325
6441,53318429
6442,80450155
6443,512796730
6446,422434636
6449,91878014
6451,117737193
6456,337939800
6462,91250754
6464,133932793
6465,59073685
6469,159104252
6470,37694100
6472,127756059
6474,52526199
6477,123787196
6482,28634463
6485,47366493
6486,50893286
6488,478113725
6491,78000000
6492,114903620
6494,31559690
6496,47290220
6498,47164892
6499,96944893
6504,72600000
6505,9525959652
6506,82360826
6508,86538864
6509,197434268
6510,32929138
6515,36444782
6516,56336935
6517,30579053
6523,45047625
6525,129047384
6526,167505554
6527,25458550
6530,33750000
6531,162846540
6532,37445147
6533,50650911
6534,102800000
6535,167840825
6538,38058493
6541,265125367
6542,42000630
6546,66848449
6547,328943644
6548,950464700
6550,894792688
6552,83000000
6556,28750000
6558,93788875
6560,32474715
6561,77958370
6568,30799700
6569,42820745
6570,37119170
6573,80499345
6574,21990000
6576,157540541
6577,60060145
6578,71941901
6579,169451221
6581,111270887
6582,106174141
6584,71265880
6585,72133587
6588,34700825
6589,306871174
6590,24964038
6591,41122465
6592,641845008
6593,31856609
6596,38000000
6597,30042250
6598,102819061
6603,167442946
6605,165816397
6606,110303783
6609,72456246
6612,52266043
6613,77801485
6614,80660521
6615,21593400
6616,35478473
6617,127506100
6620,169981900
6624,22579482
6625,57972488
6629,38379563
6637,26810000
6640,28911500
6641,36500000
6642,37399662
6643,42090160
6645,60864050
6651,34601541
6654,40962720
6655,80571817
6657,88808000
6658,36370000
6661,23304248
6662,25612400
6664,61151307
6666,47388000
6667,53478878
6668,107116087
