date,code,market,prev_close,ref_price,kind,ratio
2023-02-16,00900,上市,11.21,11.09,息,0.9892952720785012
2023-02-16,00907,上市,14.88,14.73,息,0.9899193548387096
2023-02-16,2540,上市,77.8,77.32,權,0.9938303341902313
2023-02-17,3017,上市,117.5,115.73,權,0.984936170212766
2023-02-20,00775B,上市,33.19,32.8,息,0.9882494727327508
2023-02-20,00844B,上櫃,31.5,31.33,除息,0.9946031746031746
2023-02-20,00867B,上櫃,31.23,30.86,除息,0.9881524175472302
2023-02-21,00913,上市,16.4,16.3,息,0.9939024390243903
2023-02-22,3484,上櫃,48.5,47.62,除權,0.9818556701030927
2023-02-23,00758B,上櫃,50.3,49.73,除息,0.9886679920477137
2023-02-23,00759B,上櫃,54.9,54.33,除息,0.9896174863387978
2023-02-23,00760B,上櫃,51.95,51.24,除息,0.9863330125120308
2023-02-23,5604,上櫃,55.9,53.9,除息,0.964221824686941
2023-02-24,3092,上市,39.0,37.75,權,0.967948717948718
2023-02-24,9934,上市,13.3,13.11,權,0.9857142857142857
2023-03-01,2867,上市,5.39,5.35,權,0.9925788497217068
2023-03-06,8033,上市,56.7,55.24,權,0.9742504409171076
2023-03-07,5278,上櫃,188.5,186.35,除息,0.9885941644562334
2023-03-09,01003T,上市,20.22,20.01,息,0.9896142433234423
2023-03-09,4966,上櫃,978.0,956.21,除息,0.977719836400818
2023-03-09,8038,上櫃,44.2,43.68,除權,0.988235294117647
2023-03-10,3533,上市,817.0,812.06,權,0.993953488372093
2023-03-13,2613,上市,24.9,23.85,息,0.957831325301205
2023-03-13,6770,上市,34.45,34.15,息,0.9912917271407836
2023-03-14,01010T,上市,10.24,10.02,息,0.9785156249999999
2023-03-15,5306,上市,149.0,146.75,息,0.9848993288590604
2023-03-15,6208,上櫃,55.3,52.6,除息,0.9511754068716095
2023-03-15,6762,上櫃,244.0,243.0,除息,0.9959016393442623
2023-03-16,00697B,上櫃,35.83,35.51,除息,0.9910689366452693
2023-03-16,00751B,上櫃,34.42,33.97,除息,0.9869262056943636
2023-03-16,00764B,上櫃,33.33,33.08,除息,0.9924992499249925
2023-03-16,00765B,上櫃,39.78,39.19,除息,0.9851684263448969
2023-03-16,00772B,上櫃,34.87,34.72,除息,0.9956983080011471
2023-03-16,00773B,上櫃,34.96,34.8,除息,0.9954233409610983
2023-03-16,00777B,上櫃,34.6,34.31,除息,0.9916184971098266
2023-03-16,00778B,上櫃,34.64,34.3,除息,0.9901847575057736
2023-03-16,00779B,上櫃,33.48,33.31,除息,0.9949223416965354
2023-03-16,00781B,上櫃,32.75,32.34,除息,0.9874809160305345
2023-03-16,00787B,上櫃,34.51,34.04,除息,0.9863807592002318
2023-03-16,00792B,上櫃,33.13,32.75,除息,0.9885300332025354
2023-03-16,00793B,上櫃,32.78,32.42,除息,0.9890176937156803
2023-03-16,00836B,上櫃,30.38,30.09,除息,0.9904542462146149
2023-03-16,00856B,上櫃,37.41,37.01,除息,0.9893076717455226
2023-03-16,00857B,上櫃,27.94,27.63,除息,0.9889047959914101
2023-03-16,00859B,上櫃,39.3,39.13,除息,0.995674300254453
2023-03-16,00862B,上櫃,31.24,30.87,除息,0.988156209987196
2023-03-16,00863B,上櫃,32.15,31.78,除息,0.9884914463452567
2023-03-16,00883B,上櫃,31.08,30.72,除息,0.9884169884169884
2023-03-16,00896,上市,14.32,14.17,息,0.9895251396648045
2023-03-16,00915,上市,16.39,16.17,息,0.9865771812080537
